Stazione;Grandezza;Data rilevazione;Ora rilevazione;Valore
Mazara del Vallo;Precipitazioni totali orarie (mm);15/01/2023;05:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);15/01/2023;06:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);15/01/2023;07:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);15/01/2023;08:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);15/01/2023;09:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);15/01/2023;10:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);15/01/2023;11:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);15/01/2023;12:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);15/01/2023;13:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);15/01/2023;14:00;0
Mazara del Vallo;Precipitazioni totali orarie (mm);15/01/2023;15:00;0
