Stazione;Grandezza;Data rilevazione;Ora rilevazione;Valore
Mazara del Vallo;Temperatura aria media oraria (°C);03/01/2023;21:00;9
Mazara del Vallo;Temperatura aria media oraria (°C);03/01/2023;22:00;8,6
Mazara del Vallo;Temperatura aria media oraria (°C);03/01/2023;23:00;7,8
Mazara del Vallo;Temperatura aria media oraria (°C);04/01/2023;00:00;8,3
Mazara del Vallo;Temperatura aria media oraria (°C);04/01/2023;01:00;6,8
Mazara del Vallo;Temperatura aria media oraria (°C);04/01/2023;02:00;6,5
Mazara del Vallo;Temperatura aria media oraria (°C);04/01/2023;03:00;6,6
Mazara del Vallo;Temperatura aria media oraria (°C);04/01/2023;04:00;6,8
Mazara del Vallo;Temperatura aria media oraria (°C);04/01/2023;05:00;6,4
Mazara del Vallo;Temperatura aria media oraria (°C);04/01/2023;06:00;6,3
Mazara del Vallo;Temperatura aria media oraria (°C);04/01/2023;07:00;6,7
Mazara del Vallo;Temperatura aria media oraria (°C);04/01/2023;08:00;8,1
Mazara del Vallo;Temperatura aria media oraria (°C);04/01/2023;09:00;10,8
Mazara del Vallo;Temperatura aria media oraria (°C);04/01/2023;10:00;13,5
Mazara del Vallo;Temperatura aria media oraria (°C);04/01/2023;11:00;14
Mazara del Vallo;Temperatura aria media oraria (°C);04/01/2023;12:00;15,8
Mazara del Vallo;Temperatura aria media oraria (°C);04/01/2023;13:00;17,4
Mazara del Vallo;Temperatura aria media oraria (°C);04/01/2023;14:00;17,6
Mazara del Vallo;Temperatura aria media oraria (°C);04/01/2023;15:00;16,6
Mazara del Vallo;Temperatura aria media oraria (°C);04/01/2023;16:00;14,2
Mazara del Vallo;Temperatura aria media oraria (°C);04/01/2023;17:00;11,3
Mazara del Vallo;Temperatura aria media oraria (°C);04/01/2023;18:00;10,5
Mazara del Vallo;Temperatura aria media oraria (°C);04/01/2023;19:00;9,8
Mazara del Vallo;Temperatura aria media oraria (°C);04/01/2023;20:00;8,8
Mazara del Vallo;Temperatura aria media oraria (°C);04/01/2023;21:00;7,8
