Stazione;Grandezza;Data rilevazione;Ora rilevazione;Valore
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);04/01/2023;00:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);04/01/2023;01:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);04/01/2023;02:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);04/01/2023;03:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);04/01/2023;04:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);04/01/2023;05:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);04/01/2023;06:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);04/01/2023;07:00;0,04
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);04/01/2023;08:00;0,27
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);04/01/2023;09:00;0,64
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);04/01/2023;10:00;1,05
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);04/01/2023;11:00;0,88
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);04/01/2023;12:00;2,06
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);04/01/2023;13:00;1,94
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);04/01/2023;14:00;1,59
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);04/01/2023;15:00;0,95
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);04/01/2023;16:00;0,31
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);04/01/2023;17:00;0,01
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);04/01/2023;18:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);04/01/2023;19:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);04/01/2023;20:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);04/01/2023;21:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);04/01/2023;22:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);04/01/2023;23:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);05/01/2023;00:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);05/01/2023;01:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);05/01/2023;02:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);05/01/2023;03:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);05/01/2023;04:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);05/01/2023;05:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);05/01/2023;06:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);05/01/2023;07:00;0,06
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);05/01/2023;08:00;0,51
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);05/01/2023;09:00;1,27
