Period,Count,Mean Speed (m/s),Max Speed (m/s),Std Speed (m/s),Calm <0.5 m/s,Calm %
Winter,1622,2.3844636251541305,11.8,1.805534790901578,0,0.0
Spring,1745,2.9408022922636103,13.7,2.181662903769236,0,0.0
Summer,1726,2.3593279258400925,9.5,1.5507202291883273,0,0.0
Autumn,1605,2.3198753894080997,9.8,1.587787709329849,0,0.0
All,6698,2.5074499850701706,13.7,1.8216653705812555,0,0.0
